iter	Passed	Remaining
780	4140	1161
781	4145	1155
782	4150	1150
783	4155	1145
784	4161	1139
785	4166	1134
786	4172	1129
787	4177	1123
788	4182	1118
789	4187	1113
790	4192	1107
791	4194	1101
792	4198	1096
793	4203	1090
794	4208	1085
795	4213	1079
796	4218	1074
797	4223	1068
798	4227	1063
799	4232	1058
800	4237	1052
801	4242	1047
802	4247	1041
803	4252	1036
804	4257	1031
805	4262	1026
806	4268	1020
807	4275	1015
808	4280	1010
809	4284	1005
810	4289	999
811	4294	994
812	4300	989
813	4305	983
814	4310	978
815	4315	973
816	4319	967
817	4324	962
818	4329	956
819	4334	951
820	4339	946
821	4343	940
822	4346	934
823	4353	929
824	4359	924
825	4364	919
826	4369	914
827	4374	908
828	4379	903
829	4384	898
830	4389	892
831	4394	887
832	4396	881
833	4401	876
834	4405	870
835	4408	864
836	4413	859
837	4415	853
838	4420	848
839	4425	842
840	4429	837
841	4434	832
842	4439	826
843	4445	821
844	4451	816
845	4453	810
846	4459	805
847	4464	800
848	4469	794
849	4476	789
850	4480	784
851	4483	778
852	4489	773
853	4494	768
854	4499	763
855	4504	757
856	4508	752
857	4513	747
858	4518	741
859	4520	735
860	4525	730
861	4530	725
862	4539	720
863	4544	715
864	4550	710
865	4555	704
866	4560	699
867	4564	694
868	4569	688
869	4574	683
870	4576	677
871	4581	672
872	4586	667
873	4590	661
874	4595	656
875	4600	651
876	4605	645
877	4610	640
878	4613	635
879	4617	629
880	4622	624
881	4629	619
882	4634	614
883	4640	608
884	4646	603
885	4653	598
886	4659	593
887	4663	588
888	4668	582
889	4676	577
890	4680	572
891	4683	567
892	4688	561
893	4693	556
894	4698	551
895	4703	545
896	4708	540
897	4713	535
898	4717	530
899	4719	524
900	4724	519
901	4727	513
902	4732	508
903	4737	503
904	4740	497
905	4745	492
906	4750	487
907	4755	481
908	4760	476
909	4764	471
910	4766	465
911	4768	460
912	4773	454
913	4778	449
914	4782	444
915	4787	439
916	4789	433
917	4794	428
918	4799	423
919	4802	417
920	4807	412
921	4813	407
922	4816	401
923	4822	396
924	4827	391
925	4833	386
926	4840	381
927	4845	375
928	4851	370
929	4856	365
930	4861	360
931	4866	355
932	4871	349
933	4876	344
934	4881	339
935	4886	334
936	4891	328
937	4896	323
938	4900	318
939	4906	313
940	4911	307
941	4917	302
942	4919	297
943	4924	292
944	4929	286
945	4934	281
946	4939	276
947	4941	271
948	4943	265
949	4947	260
950	4952	255
951	4957	249
952	4962	244
953	4967	239
954	4972	234
955	4976	229
956	4981	223
957	4986	218
958	4991	213
959	4997	208
960	5003	203
961	5008	197
962	5013	192
963	5019	187
964	5024	182
965	5030	177
966	5035	171
967	5040	166
968	5045	161
969	5051	156
970	5056	151
971	5058	145
972	5062	140
973	5068	135
974	5073	130
975	5077	124
976	5082	119
977	5088	114
978	5093	109
979	5099	104
980	5104	98
981	5109	93
982	5114	88
983	5118	83
984	5123	78
985	5128	72
986	5133	67
987	5134	62
988	5139	57
989	5144	51
990	5149	46
991	5154	41
992	5159	36
993	5164	31
994	5168	25
995	5173	20
996	5180	15
997	5186	10
998	5189	5
999	5194	0
